step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761194715.188082,-0.1514044082966099,-0.2749360644486142,0.33248534920960376,-0.06478869935562558,0.004,0.004,0.013,0.999,0.019,0.042,-0.026,0.001,0.0009,0.0019,0.0
0,1761194715.2224438,-0.19219796553673496,-0.2950752766037088,0.3318526371928808,-0.06333136426405801,0.004,0.004,0.013,0.999,0.021,0.042,-0.025,0.0013,0.0013,0.0023,0.0
0,1761194715.2591243,-0.11986613790430461,-0.275822317202914,0.332647312892587,-0.06591400244002446,0.004,0.004,0.013,0.999,0.019,0.043,-0.026,0.0036,0.0014,0.003,0.0
0,1761194715.2911112,-0.1913442683113186,-0.25572485739985684,0.3322214753041841,-0.06444813509559573,0.004,0.004,0.013,0.999,0.02,0.042,-0.026,0.002,0.0018,0.0028,0.0
0,1761194715.323787,-0.12426909579726475,-0.28574275458969745,0.3328005923749642,-0.0653563443644082,0.004,0.004,0.013,0.999,0.019,0.043,-0.025,0.0021,0.0015,0.0025,0.0
0,1761194715.3554518,-0.21951538338951168,-0.27964865705755304,0.33298289620586236,-0.053510380990677474,0.004,0.004,0.013,0.999,0.021,0.043,-0.024,0.0013,0.0012,0.0021,0.0
0,1761194715.3905818,-0.19174624534400697,-0.32286941675306013,0.33143924559646026,-0.06727050801891106,0.004,0.004,0.013,0.998,0.021,0.045,-0.026,0.0021,0.0014,0.0026,0.0
0,1761194715.4212713,-0.14603710920849491,-0.2685948248620149,0.33184657889905866,-0.0681579605279719,0.004,0.004,0.013,0.999,0.019,0.043,-0.026,0.001,0.0009,0.0018,0.0
0,1761194715.4568386,-0.17815944307539147,-0.2805878429597453,0.3320156558609393,-0.06682672982608022,0.004,0.004,0.013,0.999,0.019,0.043,-0.026,0.0015,0.0015,0.0028,0.0
0,1761194715.4917119,-0.17765189041449417,-0.2751510359049562,0.3322011723652221,-0.066318779307004,0.004,0.004,0.013,0.999,0.019,0.042,-0.026,0.0018,0.0018,0.0037,0.0
0,1761194715.5243418,-0.1462207372895205,-0.2563400726447413,0.3324878170913583,-0.06672562368002154,0.004,0.004,0.013,0.999,0.019,0.042,-0.026,0.0017,0.0014,0.0034,0.0
