Planned_Position_X,Planned_Position_Y,Planned_Position_Z,Control_Action_0,Control_Action_1,Control_Action_2,Control_Action_3
-0.00033366847561093835,-0.00017091677249646178,0.9964604098142414,0.30411629173955523,0.3041123349948117,0.3041123296736821,0.30411341278960735
-0.00032116279109910007,-0.000157700470329109,0.9968382259882549,0.30414805358305536,0.3041471750691995,0.3041473200847358,0.30414523123737974
-0.00030743475486226437,-0.00014474551625218453,0.9971820806073844,0.30417886855621096,0.3041754552589049,0.30417572732495957,0.30417613470427984
-0.0002927190000628977,-0.00013213973554360766,0.9974956944904114,0.3042035713051761,0.3042023712309272,0.30420274846054796,0.3042009524383516
-0.0002772387473278567,-0.00011995804449025811,0.9977823807038316,0.30422631947937867,0.30422328645796765,0.30422374908875216,0.3042238363718859
-0.0002612040962794382,-0.00010826302320227871,0.9980450793325818,0.30424268636227525,0.3042414537890287,0.3042419839250747,0.3042403554163751
-0.0002448107585041197,-9.710558210188784e-05,0.9982863786551355,0.3042551909386218,0.3042524086890677,0.3042529899346591,0.3042530237732015
-0.0002282391834207195,-8.652569972097375e-05,0.9985085200017783,0.30425926364292966,0.3042582239757712,0.3042588422741069,0.3042572683058555
-0.00021165403014809727,-7.655321187831537e-05,0.9987133838935619,0.3042570938213321,0.3042544291053279,0.3042550715018721,0.3042552746695876
-0.0001952039406603253,-6.72086346161811e-05,0.998902458142182,0.30424487822295115,0.3042442349698672,0.3042448907696808,0.30424323664349984
-0.00017902157229052526,-5.850400603275163e-05,0.9990767957524751,0.30422809703271136,0.30422537962791923,0.30422603929511394,0.3042266317368062
-0.00016322385133278085,-5.044373478963228e-05,0.999236981921164,0.3042069471432064,0.30420692413333655,0.3042075799652957,0.3042056543773569
-0.00014791241376368297,-4.302544577915864e-05,0.9993831430525965,0.3041949300014827,0.3041919134541144,0.30419255900098935,0.30419380415816466
-0.00013317420341613486,-3.6240815327326824e-05,0.9995150408524107,0.3041970538379293,0.3041979488173183,0.3041985791319682,0.3041960874801865
-0.0001190822011419798,-3.007638913790133e-05,0.9996322923208921,0.3042328711600878,0.30422917458876036,0.30422978590870015,0.304232055553857
-0.00010569625918890002,-2.451437536304937e-05,0.9997347323741685,0.3043007673110615,0.3043030331045046,0.30430362286793194,0.30430009262611185
-9.306401250338348e-05,-1.9533403264983117e-05,0.9998228852621953,0.3044109364355092,0.3044059467824929,0.3044065134348086,0.3044103921274848
-8.122183354076124e-05,-1.5109235675886054e-05,0.999898440061926,0.3045320290043572,0.30453640927035047,0.30453695237333,0.30453160399345486
-7.019579217711125e-05,-1.1215422929566018e-05,0.9999645543374834,0.30464940088755915,0.3046421003634827,0.3046426201115868,0.30464908396171403
-6.0002580939785826e-05,-7.823888324115137e-06,1.000025769036939,0.30469112999990144,0.30469889411603684,0.30469939211368047,0.30469090964188905
-5.0650371950814114e-05,-4.905441333412923e-06,1.000087337951528,0.3046334717124124,0.3046221338625496,0.3046226105022413,0.3046333378049048
-4.213958639548497e-05,-2.4302234918112266e-06,1.0001538754203918,0.3043909110543741,0.30440425901916085,0.3044047192815919,0.3043908499235954
-3.446357972969589e-05,-3.681008343974396e-07,1.0002274037167513,0.3039924803733025,0.30397416021929746,0.30397459238591695,0.3039924943779176
-2.760926754014118e-05,1.3109769352865298e-06,1.0003051114045043,0.30339821317889537,0.3034209122290127,0.30342136295814437,0.30339824333013493
-2.1557745252025683e-05,2.636629103060829e-06,1.000377377721879,0.30278333414035496,0.302753145078977,0.3027534466316266,0.30278353989316
-1.6284934863787588e-05,3.637691570984523e-06,1.0004268425068545,0.3022257338218612,0.30226377811328164,0.30226455771904487,0.30222549531824966
-1.1762397726804765e-05,4.341850142196379e-06,1.0004295035306479,0.3021831402924666,0.3021339728628638,0.30213321049279035,0.3021843307668728
-7.958059200161545e-06,4.775249393933213e-06,1.0003590687215358,0.30301645969551716,0.30307687029206604,0.30308057823495543,0.30301332123682356
-4.8377558660880096e-06,4.962104489648722e-06,1.0001962962691322,0.3059093100781973,0.3058362128235016,0.305829115654618,0.3059185544453357
-2.3651865392165484e-06,4.9242777893851825e-06,0.9999464276162644,0.3125535443787141,0.31263717927058865,0.3126521399514904,0.3125325776409115
-5.067541020094454e-07,4.6802165206308925e-06,0.9996717812831243,0.3274066004045087,0.32730998573468567,0.32727592895910246,0.3274773604564433
7.708124196074076e-07,4.245181331663477e-06,0.9995570054337949,,,,
