Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
12,0.05,0.151,0.05,0.154,0.04362603021919679,0.10995243795597977,0.04364236989022866,0.11050158978455261,-0.235,0.008,0.656,0.98,-0.035,-0.197,-0.015,-1.316,0.07,1.282,0.206,4.835,-0.052,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.101,0.05,0.08,0.05,0.0643232812086262,0.07078872779925349,0.05514142867359456,0.07105014211576756,-0.279,0.01,0.688,0.99,-0.03,-0.139,-0.016,-1.374,0.083,1.027,0.231,3.298,-0.069,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.075,0.05,0.093,0.05,0.06165669776452806,0.05358673300659849,0.06597748701483985,0.05364829740137253,-0.326,0.013,0.712,0.994,-0.026,-0.11,-0.016,-1.418,0.095,0.781,0.224,1.614,0.036,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.238,0.141,0.235,0.14,0.133658146024698,0.08659398328595569,0.13397793558523624,0.08624895047441504,-0.374,0.016,0.729,0.994,-0.023,-0.103,-0.014,-1.474,0.089,0.53,0.142,0.573,0.078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.17,0.134,0.159,0.128,0.13467973110655143,0.0980490865480423,0.12998693676757714,0.0950880079170918,-0.423,0.02,0.738,0.993,-0.019,-0.117,-0.011,-1.491,0.104,0.28,0.347,-0.511,0.043,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.132,0.141,0.148,0.139,0.11833743978279222,0.10611846887093776,0.1234075381590362,0.10384363273525615,-0.472,0.023,0.739,0.993,-0.017,-0.113,-0.009,-1.46,0.104,0.042,0.247,0.266,0.174,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.183,0.253,0.184,0.273,0.1338683537150289,0.15991357205985227,0.1365894623909319,0.16797767602820324,-0.521,0.026,0.735,0.997,-0.017,-0.073,-0.009,-1.488,0.105,-0.094,-0.092,2.558,0.09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.33,0.336,0.331,0.32,0.20653951223076072,0.22077246007430862,0.2081141912173153,0.21685332421362752,-0.569,0.03,0.728,1.0,-0.014,-0.01,-0.008,-1.485,0.114,-0.212,0.03,3.542,0.113,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.343,0.367,0.338,0.372,0.24410314965027569,0.2612710788809599,0.24282409002150032,0.2616686049734601,-0.618,0.033,0.718,0.998,-0.011,0.058,-0.008,-1.496,0.107,-0.292,0.239,3.549,0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.4,0.343,0.381,0.317,0.2863484835881522,0.2682976930119096,0.27742784024596967,0.2569211888000087,-0.666,0.037,0.711,0.997,-0.0,0.078,-0.005,-1.458,0.104,-0.189,0.826,1.114,0.121,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.208,0.182,0.233,0.192,0.2190069491295948,0.199564346997685,0.22636417439279055,0.19889017250544738,-0.712,0.04,0.715,0.999,0.001,0.054,0.001,-1.374,0.107,0.149,0.362,-1.278,0.298,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.2,0.095,0.193,0.093,0.18584826650492342,0.13028204470714913,0.18589614186409784,0.12923787966481753,-0.756,0.044,0.739,1.0,-0.0,0.002,0.003,-1.341,0.113,0.706,-0.118,-2.882,0.181,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.065,0.05,0.143,0.087,0.11088567850722597,0.07973397642994118,0.14597755787102482,0.09589240591625145,-0.798,0.048,0.782,0.999,-0.021,-0.034,0.009,-1.272,0.121,1.268,-1.164,-1.958,0.285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.059,0.05,0.09,0.089,0.0752103825712665,0.057472641508856795,0.10457619565143643,0.08217993603348019,-0.84,0.052,0.832,0.999,-0.043,-0.028,0.014,-1.263,0.142,1.467,-1.291,0.493,0.346,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.05,0.249,0.1,0.271,0.05547939530898356,0.13663230440127194,0.09088012157522468,0.1572804229799039,-0.88,0.057,0.879,0.998,-0.06,0.029,0.011,-1.23,0.141,1.425,-0.92,3.245,0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.18,0.194,0.136,0.166,0.10470365600861117,0.14675338193596524,0.10094957163026307,0.14331666398676773,-0.918,0.061,0.919,0.992,-0.063,0.106,0.007,-1.152,0.14,1.188,-0.097,4.519,0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.4,0.377,0.382,0.367,0.22495511140951363,0.23305727926705117,0.21525898933433868,0.227233871852001,-0.957,0.066,0.951,0.983,-0.05,0.179,0.002,-1.177,0.144,1.002,0.813,4.115,0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.399,0.347,0.4,0.321,0.2776734041045888,0.2576437219361084,0.2736462081594348,0.24362086828371657,-0.994,0.07,0.981,0.983,-0.022,0.181,0.0,-1.123,0.138,0.917,1.417,0.461,0.234,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.194,0.161,0.187,0.147,0.20900530324097566,0.18544901748021658,0.20390669247194246,0.17300850763580244,-1.029,0.076,1.01,0.99,0.001,0.143,0.003,-1.046,0.158,0.898,1.199,-2.131,0.368,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.135,0.05,0.174,0.075,0.15228657751206245,0.10403102951007623,0.16774459831150978,0.10972631449019765,-1.059,0.082,1.049,0.996,-0.003,0.09,0.005,-0.909,0.18,1.18,-0.225,-2.903,0.177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.052,0.05,0.094,0.099,0.09041265202069132,0.0681727640345271,0.1158344090298418,0.09252294026865661,-1.082,0.088,1.101,0.997,-0.022,0.073,0.01,-0.726,0.186,1.543,-1.109,-1.247,0.124,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.05,0.058,0.15,0.185,0.06217473678856896,0.056176904023883034,0.11830045354322619,0.12365560034219718,-1.102,0.095,1.156,0.995,-0.051,0.089,0.014,-0.611,0.21,1.626,-1.719,0.845,0.178,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.05,0.25,0.082,0.159,0.04973821162548414,0.13632630262782003,0.08884956232344599,0.1256132229467717,-1.12,0.103,1.206,0.989,-0.069,0.131,0.015,-0.536,0.218,1.485,-1.157,2.309,0.138,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.079,0.093,0.099,0.12,0.057371226316647955,0.10163440862410716,0.08347128583012167,0.1091908426400208,-1.136,0.109,1.249,0.982,-0.068,0.176,0.017,-0.499,0.201,1.277,-0.016,2.639,0.312,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.4,0.328,0.153,0.18,0.2041092594144522,0.1916082221358662,0.10535619834875935,0.12875879181408711,-1.152,0.116,1.284,0.977,-0.033,0.211,0.013,-0.475,0.193,1.056,1.893,2.067,0.213,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.248,0.253,0.4,0.292,0.20091341190196127,0.1977069581847371,0.2252423673445676,0.18739397437797845,-1.167,0.121,1.313,0.978,0.015,0.208,0.001,-0.443,0.176,0.885,2.74,0.134,0.152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.4,0.375,0.252,0.284,0.2673267768099514,0.2549025358058304,0.21196073095988713,0.2096237307830999,-1.18,0.127,1.337,0.979,0.067,0.191,-0.009,-0.401,0.172,0.732,2.828,-1.152,0.074,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.118,0.083,0.262,0.177,0.17065084330694366,0.14945263792022634,0.2106156106872971,0.1714980221343606,-1.189,0.133,1.361,0.986,0.062,0.155,-0.008,-0.282,0.182,0.766,-0.249,-2.274,0.196,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.103,0.05,0.127,0.108,0.12134384995308689,0.08817707180204637,0.149410479710475,0.12363989105068557,-1.193,0.138,1.392,0.993,0.012,0.118,0.0,-0.117,0.153,0.964,-3.081,-2.417,0.238,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.105,0.05,0.4,0.366,0.10022480293748118,0.06119013204343157,0.24464525602904857,0.2181220196422383,-1.191,0.145,1.435,0.992,-0.109,0.067,0.018,0.023,0.209,1.262,-6.703,-2.787,0.248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.078,0.05,0.096,0.087,0.0789825027323348,0.04930456341421719,0.15052471254105956,0.13487590220183057,-1.188,0.153,1.479,0.978,-0.204,0.039,0.029,0.098,0.243,1.284,-5.569,-1.643,0.131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.05,0.05,0.119,0.085,0.057140806027447776,0.0440706837454356,0.11958328263601337,0.09758931062093883,-1.183,0.163,1.52,0.973,-0.226,0.028,0.042,0.134,0.292,1.246,-1.312,-0.652,0.518,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.4,0.4,0.05,0.05,0.2040079144721526,0.19825158081233446,0.07502203187667661,0.0653354628685588,-1.178,0.173,1.563,0.992,-0.114,0.031,0.051,0.159,0.29,1.254,5.976,-0.235,0.638,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.251,0.279,0.1,0.05,0.2022474753499814,0.2121850667105682,0.07773097274476654,0.051130247178935134,-1.172,0.183,1.598,0.997,0.051,0.034,0.056,0.178,0.288,1.062,9.506,-0.281,0.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.239,0.212,0.081,0.05,0.1957456149549412,0.18826858147363762,0.07046748309054526,0.04487399868081955,-1.165,0.192,1.625,0.976,0.207,0.04,0.056,0.183,0.29,0.81,8.918,-0.135,0.325,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.056,0.05,0.17,0.076,0.11135562629955045,0.10527236154612586,0.10724700001563665,0.05365625734451115,-1.159,0.202,1.651,0.967,0.245,0.03,0.054,0.192,0.274,0.803,2.523,-0.735,0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.062,0.05,0.365,0.4,0.07676039451552459,0.06871922654810822,0.21050887659303824,0.2024732520171525,-1.153,0.209,1.678,0.986,0.163,0.004,0.047,0.189,0.219,0.81,-4.641,-1.39,-0.205,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.16,0.05,0.273,0.289,0.10520077023344584,0.05262052163560816,0.21474662094012306,0.21831415481850613,-1.147,0.216,1.702,0.999,0.006,-0.021,0.035,0.186,0.225,0.693,-8.844,-1.043,-0.469,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.079,0.05,0.205,0.163,0.0818254582498081,0.04553056798950583,0.18615463009637853,0.16912813905818302,-1.14,0.223,1.717,0.991,-0.128,-0.039,0.023,0.197,0.209,0.494,-7.746,-0.918,-0.412,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.181,0.222,0.05,0.05,0.11692661434840933,0.11930085377086373,0.10434133588743093,0.09684254116882968,-1.134,0.228,1.732,0.989,-0.137,-0.043,0.027,0.177,0.159,0.476,-0.563,-0.558,0.251,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.39,0.363,0.101,0.05,0.22602459195657115,0.2147577701965574,0.09095024046693148,0.06500687403852937,-1.129,0.232,1.748,0.998,-0.018,-0.048,0.041,0.15,0.115,0.448,6.353,-0.673,0.373,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.264,0.254,0.063,0.05,0.217537713055501,0.20830862629648506,0.0682055494832687,0.050985530068772,-1.125,0.235,1.757,0.985,0.16,-0.042,0.051,0.138,0.079,0.286,10.118,-0.33,0.136,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.217,0.191,0.264,0.05,0.19262942386931753,0.1771856275696163,0.1478908760075947,0.04481026005437531,-1.121,0.236,1.762,0.955,0.287,-0.056,0.055,0.124,0.04,0.168,7.405,-1.529,0.362,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.082,0.05,0.084,0.117,0.12164726463063305,0.1003912143445519,0.10281496926670272,0.07219979091507576,-1.12,0.236,1.765,0.947,0.311,-0.072,0.043,0.05,-0.034,0.119,1.076,-1.473,-0.158,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.111,0.05,0.39,0.4,0.10337409100178224,0.06656947524914734,0.21974331101105088,0.21064018154188685,-1.12,0.232,1.768,0.97,0.221,-0.099,0.014,0.005,-0.118,0.093,-5.354,-1.738,-0.786,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.116,0.05,0.222,0.239,0.09729879445986941,0.05167373284385308,0.1958623232944194,0.1994573391489133,-1.12,0.226,1.768,0.992,0.073,-0.097,-0.019,-0.017,-0.176,0.018,-8.783,-0.347,-0.853,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.05,0.051,0.191,0.215,0.0652075141847665,0.04553686401499203,0.17183707660584,0.18415394043722233,-1.122,0.22,1.764,0.996,-0.044,-0.071,-0.039,-0.035,-0.198,-0.107,-7.868,1.294,-0.749,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.315,0.4,0.05,0.05,0.1694957678095225,0.1988973146423671,0.09803560952635916,0.10346019368604939,-1.125,0.209,1.759,0.997,-0.052,-0.048,-0.037,-0.09,-0.288,-0.119,-0.238,1.499,0.156,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.316,0.246,0.098,0.05,0.21592799104971555,0.19736648594441422,0.08719138133224116,0.0679211197505449,-1.129,0.196,1.755,0.997,0.064,-0.044,-0.022,-0.138,-0.387,-0.149,6.576,0.526,0.379,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.261,0.266,0.113,0.05,0.21157454988842486,0.20580440455097346,0.08891616816820798,0.05226902107374419,-1.135,0.181,1.746,0.975,0.215,-0.05,-0.011,-0.177,-0.442,-0.263,8.507,-0.417,0.324,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.08,0.05,0.176,0.053,0.1289296671738307,0.11299552848137082,0.11804281159052528,0.04673489149048624,-1.143,0.165,1.737,0.965,0.255,-0.065,-0.013,-0.219,-0.473,-0.257,2.487,-0.863,-0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.05,0.05,0.191,0.4,0.07913846545112367,0.07212079943262001,0.13732223154692724,0.1994247129819839,-1.151,0.15,1.73,0.981,0.181,-0.06,-0.02,-0.256,-0.506,-0.228,-4.362,0.164,-0.178,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.05,0.05,0.4,0.327,0.05720935521679557,0.05411863987201425,0.23932135903362928,0.2339134835545868,-1.161,0.131,1.72,0.998,-0.026,-0.039,-0.044,-0.274,-0.504,-0.292,-10.67,0.849,-0.706,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.05,0.075,0.23,0.269,0.04755157280083726,0.05759043774661872,0.20833735009910148,0.22310876878896962,-1.169,0.114,1.702,0.974,-0.215,0.004,-0.07,-0.251,-0.509,-0.556,-11.464,2.106,-0.915,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.053,0.057,0.192,0.205,0.04480114419564621,0.05072053880318973,0.17761149318209332,0.1899665426423968,-1.177,0.098,1.677,0.936,-0.34,0.043,-0.08,-0.252,-0.492,-0.736,-7.943,1.928,-0.384,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.271,0.154,0.055,0.05,0.1409631915619587,0.09112281873253757,0.10274902139179928,0.10602019086751992,-1.185,0.084,1.651,0.934,-0.345,0.051,-0.084,-0.246,-0.415,-0.785,-0.816,0.58,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.354,0.4,0.102,0.072,0.22042166830085205,0.2189741718881214,0.09103272497242347,0.0787002817340214,-1.194,0.073,1.624,0.968,-0.236,0.028,-0.085,-0.242,-0.333,-0.803,6.391,-0.913,-0.055,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.4,0.363,0.299,0.188,0.2759192992200421,0.25890378733253105,0.17369527697471854,0.11885874039615527,-1.202,0.063,1.592,0.996,-0.045,-0.015,-0.075,-0.262,-0.318,-0.957,11.273,-1.616,0.384,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.241,0.19,0.098,0.05,0.22917082141735828,0.19878430323428664,0.12028150953908498,0.07471160953710071,-1.211,0.053,1.554,0.988,0.126,-0.065,-0.069,-0.269,-0.292,-1.129,9.963,-2.023,-0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.106,0.05,0.215,0.116,0.14825065002589566,0.1099037007167268,0.14922810723237936,0.08477250260059845,-1.222,0.045,1.52,0.979,0.147,-0.111,-0.083,-0.337,-0.253,-1.009,1.639,-2.608,-0.454,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.059,0.05,0.353,0.4,0.09188688366651564,0.07075897000782125,0.2236830981895712,0.21617742352909924,-1.237,0.037,1.497,0.986,0.014,-0.118,-0.118,-0.433,-0.245,-0.732,-7.491,-1.54,-0.893,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.122,0.056,0.371,0.4,0.09497699007373532,0.056091088811200826,0.2644976788312033,0.27405070479363347,-1.252,0.032,1.474,0.959,-0.222,-0.081,-0.157,-0.435,-0.133,-0.713,-13.881,0.082,-0.86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.05,0.091,0.291,0.291,0.06418494791081264,0.06558000968892894,0.2463775387992657,0.2506162551723235,-1.265,0.029,1.443,0.87,-0.453,-0.005,-0.194,-0.417,-0.095,-0.917,-14.899,2.266,-0.687,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.05,0.079,0.133,0.152,0.05062354360778798,0.06441787306167458,0.1678933854979189,0.17817993442391517,-1.279,0.032,1.41,0.81,-0.545,0.046,-0.213,-0.414,0.079,-0.979,-7.251,2.757,0.251,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.4,0.309,0.05,0.05,0.20113758607042231,0.16668483302076992,0.09629873226526735,0.1008291264275657,-1.29,0.045,1.379,0.852,-0.475,0.026,-0.219,-0.355,0.404,-0.942,4.668,0.348,-0.15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.4,0.4,0.05,0.05,0.2674268675805578,0.25225311764745006,0.06476711423692563,0.06676234590844185,-1.302,0.065,1.346,0.94,-0.258,-0.028,-0.22,-0.355,0.58,-1.034,13.921,-0.164,-0.053,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.4,0.35,0.221,0.101,0.296621925937564,0.2674269856998448,0.12722124088598974,0.07454389590030192,-1.314,0.085,1.304,0.972,0.035,-0.118,-0.201,-0.389,0.61,-1.329,18.51,-1.42,-0.429,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.289,0.225,0.209,0.05,0.2600081441363787,0.21834464027103007,0.14959898607199945,0.055186003108255804,-1.327,0.106,1.254,0.925,0.262,-0.211,-0.175,-0.394,0.636,-1.459,14.109,-2.999,-0.305,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.146,0.05,0.143,0.088,0.1796540905876403,0.11851869509502193,0.1297488129209861,0.06352119941091916,-1.347,0.127,1.206,0.89,0.31,-0.271,-0.199,-0.604,0.615,-1.449,3.54,-3.711,-1.047,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.065,0.05,0.295,0.4,0.10820351382114293,0.07455316885589185,0.18881683422596818,0.20681795697030828,-1.374,0.143,1.165,0.907,0.197,-0.258,-0.266,-0.814,0.518,-1.257,-7.078,-1.646,-1.527,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.135,0.105,0.4,0.397,0.10793526545606623,0.07986869880462573,0.2620003477771804,0.268442678736212,-1.404,0.159,1.124,0.928,-0.01,-0.166,-0.334,-0.903,0.471,-1.279,-13.549,0.917,-1.387,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.257,0.357,0.324,0.4,0.16235453150548904,0.1946719578725324,0.26031417321911876,0.2970693028165776,-1.433,0.174,1.073,0.896,-0.208,-0.016,-0.391,-0.869,0.443,-1.507,-14.379,3.974,-1.789,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
