px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
-0.554,1.442,2.995,0.994,0.091,-0.047,-0.026,-1.611,-0.605,0.789,-2.529,0.541,0.035
-0.56,1.439,2.999,0.994,0.097,-0.042,-0.027,-1.572,-0.604,0.774,-1.573,0.863,-0.118
-0.567,1.436,3.002,0.994,0.095,-0.033,-0.031,-1.683,-0.679,0.846,-1.551,1.847,-0.632
-0.573,1.433,3.006,0.994,0.096,-0.025,-0.034,-1.56,-0.64,0.789,-1.167,1.99,-0.752
-0.58,1.43,3.009,0.995,0.097,-0.017,-0.036,-1.674,-0.719,0.867,-0.934,2.522,-1.042
-0.586,1.427,3.013,0.994,0.099,-0.012,-0.039,-1.672,-0.722,0.878,-0.55,2.554,-1.163
-0.593,1.424,3.016,0.994,0.1,-0.006,-0.041,-1.713,-0.755,0.91,-0.341,2.717,-1.233
-0.6,1.421,3.02,0.994,0.101,0.003,-0.043,-1.649,-0.734,0.88,-0.243,2.875,-1.267
-0.606,1.418,3.024,0.994,0.102,0.006,-0.045,-1.614,-0.729,0.867,-0.086,2.548,-1.229
-0.613,1.414,3.027,0.993,0.105,0.011,-0.048,-1.675,-0.773,0.898,0.315,2.603,-1.318
-0.619,1.411,3.031,0.993,0.109,0.018,-0.05,-1.663,-0.789,0.899,0.543,2.754,-1.357
-0.626,1.407,3.034,0.992,0.113,0.024,-0.053,-1.615,-0.779,0.878,0.821,2.683,-1.352
-0.632,1.404,3.038,0.991,0.121,0.029,-0.055,-1.573,-0.774,0.851,1.324,2.616,-1.36
-0.639,1.4,3.041,0.99,0.127,0.037,-0.058,-1.653,-0.835,0.895,1.703,3.027,-1.455
-0.645,1.397,3.045,0.987,0.141,0.039,-0.06,-1.497,-0.758,0.805,2.157,2.592,-1.262
-0.652,1.393,3.048,0.986,0.148,0.048,-0.062,-2.068,-1.101,1.104,3.667,4.317,-1.951
-0.658,1.39,3.051,0.985,0.155,0.049,-0.064,-1.95,-1.044,1.033,3.565,3.621,-1.745
-0.665,1.386,3.055,0.984,0.155,0.055,-0.067,-1.901,-1.041,1.025,2.796,3.471,-1.783
-0.671,1.382,3.059,0.983,0.162,0.059,-0.068,-1.848,-1.019,0.99,2.896,3.153,-1.576
-0.678,1.378,3.062,0.982,0.167,0.06,-0.067,-1.79,-1.0,0.964,2.83,2.704,-1.178
-0.684,1.375,3.066,0.981,0.173,0.059,-0.067,-1.706,-0.956,0.914,2.78,2.086,-0.836
-0.691,1.371,3.069,0.981,0.176,0.056,-0.067,-1.726,-0.98,0.93,2.54,1.413,-0.653
-0.697,1.367,3.073,0.98,0.182,0.055,-0.064,-1.68,-0.969,0.905,2.604,1.143,-0.23
-0.704,1.363,3.076,0.979,0.186,0.05,-0.064,-1.67,-0.973,0.907,2.489,0.433,-0.019
-0.71,1.359,3.08,0.979,0.19,0.043,-0.064,-1.627,-0.952,0.891,2.359,-0.25,0.121
-0.717,1.355,3.084,0.979,0.191,0.039,-0.062,-1.657,-0.979,0.913,2.002,-0.506,0.35
-0.724,1.35,3.088,0.979,0.191,0.039,-0.059,-1.659,-0.997,0.925,1.645,-0.434,0.589
-0.73,1.346,3.091,0.98,0.19,0.033,-0.059,-1.633,-0.988,0.907,1.224,-0.833,0.607
-0.737,1.342,3.095,0.981,0.186,0.032,-0.051,-1.616,-0.984,0.889,0.586,-0.645,1.148
-0.744,1.338,3.099,0.98,0.189,0.024,-0.052,-1.618,-0.999,0.914,0.909,-1.389,0.95
-0.75,1.334,3.103,0.981,0.188,0.019,-0.05,-1.612,-1.002,0.908,0.645,-1.588,1.042
-0.757,1.33,3.106,0.981,0.186,0.014,-0.047,-1.601,-1.006,0.894,0.339,-1.652,1.215
-0.763,1.325,3.11,0.981,0.186,0.009,-0.047,-1.57,-1.001,0.875,0.216,-1.788,1.088
-0.77,1.321,3.113,0.983,0.179,0.007,-0.042,-1.571,-1.003,0.852,-0.441,-1.551,1.356
-0.776,1.316,3.116,0.984,0.176,0.002,-0.038,-1.599,-1.033,0.869,-0.697,-1.762,1.561
-0.782,1.312,3.12,0.984,0.173,-0.005,-0.041,-1.547,-1.014,0.858,-0.812,-2.069,1.168
-0.789,1.308,3.123,0.986,0.163,-0.006,-0.034,-1.549,-1.017,0.837,-1.55,-1.649,1.504
-0.795,1.304,3.127,0.986,0.16,-0.014,-0.036,-1.546,-1.028,0.869,-1.495,-2.129,1.216
-0.801,1.299,3.13,0.988,0.15,-0.017,-0.031,-1.557,-1.04,0.852,-2.122,-1.996,1.508
