px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,0.002,-0.002,-0.008,0.01,0.066,-0.006
0.022,-0.035,0.056,1.0,0.014,0.008,0.002,0.002,0.002,-0.004,0.157,0.033,-0.021
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.001,0.001,0.038,-0.079,0.016
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,-0.0,0.002,0.032,-0.065,-0.01
0.022,-0.035,0.056,1.0,0.015,0.006,0.002,-0.001,0.002,0.013,0.162,-0.109,0.015
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,-0.001,-0.001,0.001,-0.004,0.05,0.019
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,-0.001,0.006,-0.045,-0.02,0.011
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,0.001,0.004,-0.041,-0.057,-0.008
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.0,0.0,0.001,0.026,-0.047,-0.023
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.0,-0.0,-0.001,0.013,-0.002,0.039
0.022,-0.035,0.056,1.0,0.013,0.008,0.002,0.002,-0.002,-0.008,-0.009,0.139,0.012
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,-0.0,-0.003,-0.022,0.002,0.01
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.0,-0.0,-0.001,0.015,-0.015,0.015
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.001,-0.001,-0.001,0.004,0.009,-0.0
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,-0.002,0.0,-0.013,0.007,0.005
0.022,-0.035,0.056,1.0,0.013,0.006,0.002,-0.0,-0.001,0.004,-0.001,-0.032,-0.014
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.004,0.0,-0.003,0.028,0.12,0.051
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,-0.002,-0.003,-0.007,0.113,0.042
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.001,-0.002,0.002,-0.073,0.011,0.036
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.0,0.0,-0.0,-0.013,0.026,0.016
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,-0.001,-0.006,-0.038,0.044,-0.01
0.022,-0.035,0.056,1.0,0.012,0.008,0.002,0.004,-0.004,-0.005,-0.158,0.151,0.043
0.022,-0.035,0.056,1.0,0.014,0.009,0.002,0.002,-0.001,-0.004,0.109,0.165,-0.015
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.003,-0.002,0.004,-0.081,0.02,-0.011
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,0.003,-0.002,0.063,-0.031,0.001
0.022,-0.035,0.056,1.0,0.015,0.006,0.002,-0.003,0.003,0.007,0.167,-0.086,0.009
0.022,-0.035,0.056,1.0,0.013,0.007,0.001,-0.001,-0.001,0.001,-0.023,-0.038,-0.03
0.022,-0.035,0.056,1.0,0.013,0.009,0.002,0.001,-0.004,-0.005,-0.02,0.17,0.003
0.022,-0.035,0.056,1.0,0.014,0.009,0.002,0.001,0.0,-0.004,0.144,0.125,0.034
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,-0.003,0.001,-0.063,-0.094,-0.018
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.002,-0.001,-0.002,0.026,-0.073,-0.001
0.022,-0.035,0.056,1.0,0.012,0.008,0.002,0.004,-0.003,-0.001,-0.121,0.007,0.027
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.003,0.002,0.003,-0.039,-0.123,-0.009
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.002,0.002,0.001,0.112,-0.059,-0.004
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.002,0.002,0.001,0.094,-0.024,0.019
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.001,0.002,-0.007,-0.07,-0.007
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.001,-0.002,0.047,-0.004,0.004
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.0,0.001,-0.009,-0.023,-0.007
0.022,-0.035,0.056,1.0,0.013,0.006,0.002,-0.0,0.0,0.001,0.023,-0.083,0.011
0.022,-0.035,0.056,1.0,0.012,0.006,0.001,-0.001,-0.002,0.001,-0.061,-0.053,-0.023
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,0.001,-0.0,-0.002,0.005,-0.002,0.015
0.022,-0.035,0.056,1.0,0.012,0.006,0.002,0.003,0.001,0.003,-0.059,-0.056,0.067
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,-0.002,0.001,-0.003,-0.011,0.016,-0.023
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.0,0.002,-0.006,0.096,0.018,-0.01
0.022,-0.035,0.056,1.0,0.014,0.008,0.002,-0.001,0.001,-0.002,0.102,0.093,0.014
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.002,0.002,-0.0,0.059,0.064,0.009
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,-0.001,0.003,-0.023,0.027,0.008
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.0,-0.002,0.003,-0.025,-0.029,-0.008
0.022,-0.035,0.056,1.0,0.015,0.006,0.002,0.001,0.003,0.012,0.155,-0.091,-0.024
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.001,-0.0,-0.006,0.02,0.025,0.002
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.0,-0.001,-0.005,0.018,0.055,0.019
0.022,-0.035,0.056,1.0,0.012,0.007,0.002,0.003,-0.002,0.002,-0.13,-0.016,0.041
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.0,0.001,-0.007,0.043,-0.004,-0.022
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.0,0.001,-0.006,0.035,0.025,-0.007
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,-0.0,0.001,-0.004,0.061,0.01,0.005
0.022,-0.035,0.056,1.0,0.014,0.007,0.002,0.0,0.0,-0.002,0.04,-0.026,-0.028
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,-0.002,0.004,-0.058,0.03,-0.003
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.002,-0.001,0.004,-0.001,-0.014,-0.006
0.022,-0.035,0.056,1.0,0.016,0.007,0.002,-0.002,0.004,0.007,0.24,-0.035,0.011
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.0,-0.0,0.002,-0.021,0.006,-0.009
0.022,-0.035,0.056,1.0,0.013,0.007,0.002,-0.001,0.001,-0.001,-0.029,-0.015,-0.009
0.022,-0.035,0.056,1.0,0.015,0.007,0.002,-0.001,0.003,0.001,0.17,0.02,0.033
0.022,-0.035,0.056,1.0,0.014,0.009,0.002,0.003,-0.0,-0.011,0.059,0.181,-0.024
