Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
33,0.05,0.05,0.4,0.4,0.06576392565342973,0.054622355049118484,0.28538495194325086,0.27263516683960326,-1.178,-0.144,1.552,0.764,-0.245,0.163,-0.574,-0.925,-0.198,0.811,-20.232,1.373,-0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.05,0.05,0.297,0.4,0.05131905078849822,0.04641254880882862,0.2583941312839878,0.29891575533679393,-1.207,-0.154,1.57,0.614,-0.449,0.384,-0.524,-0.895,-0.268,0.521,-19.978,3.977,-0.984,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.05,0.131,0.221,0.356,0.04495715041903628,0.07887071510157567,0.21267014837028336,0.2907609920562816,-1.232,-0.164,1.58,0.456,-0.521,0.528,-0.492,-0.756,-0.306,0.335,-12.32,5.764,-1.239,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.282,0.4,0.05,0.102,0.14607148763680272,0.21357818493721198,0.11601928096790275,0.17372340079818097,-1.242,-0.174,1.586,0.411,-0.476,0.545,-0.555,-0.315,-0.299,0.181,0.488,5.236,-0.739,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.4,0.4,0.05,0.05,0.24317469987728108,0.27290594985735617,0.07345237701397665,0.09886638304196443,-1.236,-0.184,1.587,0.502,-0.354,0.402,-0.68,0.126,-0.281,0.024,13.532,1.725,0.133,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.4,0.327,0.05,0.05,0.28594082542694993,0.26650377107834333,0.05470509229171394,0.06589791016649657,-1.225,-0.192,1.583,0.616,-0.199,0.089,-0.757,0.301,-0.238,-0.117,21.561,-4.071,-0.565,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.4,0.197,0.272,0.05,0.3047758141085977,0.20554529767942042,0.14564048348924294,0.05137805352955219,-1.211,-0.196,1.57,0.637,-0.119,-0.208,-0.733,0.419,-0.122,-0.353,16.577,-7.768,-0.933,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.202,0.05,0.363,0.114,0.22432521640118774,0.11288135943376144,0.22640380688528453,0.07381933392826068,-1.192,-0.192,1.557,0.572,-0.198,-0.36,-0.71,0.56,0.122,-0.374,3.628,-10.03,-1.753,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.072,0.05,0.4,0.4,0.13092945615712734,0.07207041241648282,0.27855452712242385,0.2113532262205065,-1.166,-0.179,1.545,0.464,-0.364,-0.334,-0.735,0.778,0.356,-0.398,-8.957,-7.742,-0.825,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.089,0.05,0.343,0.4,0.09732455266988527,0.054096448491578804,0.27594410789852103,0.27192603533668736,-1.135,-0.161,1.533,0.315,-0.485,-0.148,-0.802,0.898,0.522,-0.399,-15.618,-2.023,-1.404,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
