Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
37,-0.083,-0.072,0.011,-0.015,0.064,0.034,0.99,1.0,0.022,-0.014,-0.002,-0.07,-0.024,0.763,0.749,0.975,-0.176,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-0.077,-0.125,0.019,0.006,0.062,0.033,1.009,1.0,0.029,0.007,-0.0,-0.074,-0.022,0.593,0.409,1.104,0.106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.042,0.015,0.039,0.009,0.059,0.033,1.023,1.0,0.015,-0.004,-0.0,-0.1,-0.007,0.428,-0.713,-0.279,0.118,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.062,0.057,0.058,0.007,0.057,0.033,1.027,1.0,0.009,-0.009,0.001,-0.102,-0.008,0.329,-0.702,-0.442,0.081,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.093,0.2,0.096,-0.003,0.052,0.032,1.029,1.0,-0.001,-0.025,-0.0,-0.262,-0.036,0.057,-1.007,-1.566,0.008,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.042,0.098,0.177,-0.013,0.049,0.031,1.02,1.0,0.009,-0.02,-0.001,-0.117,-0.036,-0.259,0.512,0.255,-0.098,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.144,-0.02,0.249,-0.013,0.046,0.03,1.004,1.0,0.022,-0.006,-0.003,-0.091,-0.041,-0.516,0.783,0.88,-0.087,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.193,-0.165,0.292,-0.007,0.044,0.028,0.98,0.999,0.033,0.018,-0.003,-0.074,-0.035,-0.708,0.689,1.238,-0.009,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.01,-0.071,0.344,0.004,0.041,0.028,0.953,1.0,0.017,0.021,-0.001,-0.09,-0.02,-0.84,-0.846,0.131,0.078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.176,0.076,0.385,0.01,0.038,0.027,0.926,1.0,-0.004,0.011,0.002,-0.085,-0.014,-0.824,-1.224,-0.609,0.112,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.2,0.199,0.333,0.014,0.036,0.027,0.903,1.0,-0.023,-0.009,0.005,-0.073,-0.009,-0.705,-0.947,-0.849,0.138,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.056,0.094,0.354,-0.008,0.035,0.026,0.889,1.0,-0.006,-0.003,0.003,-0.046,-0.022,-0.557,1.169,0.2,-0.086,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.2,-0.106,0.288,-0.018,0.035,0.026,0.885,1.0,0.021,0.014,-0.0,-0.009,-0.015,-0.116,1.529,1.073,-0.175,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
