step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
25,1762398806.8419194,0.01885400783978402,-0.07551763346263529,-0.7755810692654966,0.001955885823921595,0.022,-0.007,0.09,1.0,-0.003,0.015,0.002
26,1762398806.8504636,0.022491859476316156,-0.07728000012274894,-0.7760821347008873,0.001940879178649696,0.024,-0.006,0.095,1.0,-0.004,0.015,0.002
27,1762398806.8586028,0.023244214476316152,-0.07790789012274894,-0.7634484418527291,0.001940879178649696,0.025,-0.006,0.1,1.0,-0.004,0.015,0.002
28,1762398806.8669598,0.02115262581455651,-0.07601498267424228,-0.7452270039181113,0.0009583764271000031,0.026,-0.005,0.104,1.0,-0.003,0.014,0.001
29,1762398806.8752985,0.021654195814556507,-0.07777233267424229,-0.7279852000388081,0.0009583764271000031,0.028,-0.005,0.107,1.0,-0.003,0.014,0.001
30,1762398806.8836493,0.022282085814556513,-0.07840022267424229,-0.700569431305706,0.0009583764271000031,0.029,-0.004,0.111,1.0,-0.003,0.014,0.001
31,1762398806.8921196,0.020024655499710976,-0.07802246449049016,-0.662634910313862,0.0009723818930631544,0.03,-0.004,0.113,1.0,-0.002,0.014,0.001
32,1762398806.9003186,0.022624076864817374,-0.07815881722634231,-0.624377493180881,0.0019587734927977224,0.031,-0.003,0.116,1.0,-0.003,0.014,0.002
33,1762398806.9085581,0.02290997581455651,-0.07915628767424229,-0.5841389166734644,0.0009583764271000031,0.033,-0.003,0.117,1.0,-0.003,0.014,0.001
34,1762398806.9169173,0.02551390567336066,-0.07578389271688833,-0.5399599126809833,0.001948664375028486,0.034,-0.002,0.118,1.0,-0.004,0.013,0.002
35,1762398806.9254954,0.023512007906273426,-0.07590506157978526,-0.5023482878302765,0.0019645714062749863,0.035,-0.002,0.119,1.0,-0.003,0.012,0.002
36,1762398806.9337506,0.023643000024635964,-0.07339905205058138,-0.4598056558072876,0.0019674817181175295,0.037,-0.001,0.119,1.0,-0.003,0.011,0.002
37,1762398806.9420376,0.02615086952473755,-0.0730288176660529,-0.414958968268726,0.001956479136843942,0.038,-0.001,0.118,1.0,-0.004,0.011,0.002
38,1762398806.9503775,0.021015502814952684,-0.07051288757476713,-0.375366184043584,0.0019804015694610253,0.04,-0.0,0.117,1.0,-0.002,0.01,0.002
