step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
136,1760765631.5924523,0.0,0.0,-0.5412335592057749,-0.0,-0.0,-0.0,0.324,1.0,0.0,0.0,0.0
137,1760765631.6007195,0.0,0.0,-0.5319523717332548,-0.0,-0.0,-0.0,0.326,1.0,0.0,0.0,0.0
138,1760765631.6089997,0.0,0.0,-0.5489407008278325,-0.0,-0.0,-0.0,0.328,1.0,0.0,0.0,0.0
139,1760765631.6173925,0.0,0.0,-0.546226892497087,-0.0,-0.0,-0.0,0.33,1.0,0.0,0.0,0.0
140,1760765631.6256893,0.0,0.0,-0.5454832979088737,-0.0,-0.0,-0.0,0.332,1.0,0.0,0.0,0.0
141,1760765631.6341288,0.0,0.0,-0.4905533525850704,-0.0,-0.0,-0.0,0.333,1.0,0.0,0.0,0.0
142,1760765631.6424286,0.0,0.0,-0.5426826329040925,-0.0,-0.0,-0.0,0.336,1.0,0.0,0.0,0.0
143,1760765631.6507869,0.0,0.0,-0.5284704382592903,-0.0,-0.0,-0.0,0.337,1.0,0.0,0.0,0.0
144,1760765631.6593301,0.0,0.0,-0.4883225688204308,-0.0,-0.0,-0.0,0.339,1.0,0.0,0.0,0.0
145,1760765631.667358,0.0,0.0,-0.5640944140498405,-0.0,-0.0,-0.0,0.342,1.0,0.0,0.0,0.0
146,1760765631.6757197,0.0,0.0,-0.567291246946692,-0.0,0.0,-0.0,0.344,1.0,0.0,0.0,0.0
147,1760765631.6846952,0.0,0.0,-0.529436487391502,-0.0,0.0,-0.0,0.345,1.0,0.0,0.0,0.0
148,1760765631.6937404,0.0,0.0,-0.527368471343031,-0.0,0.0,-0.0,0.345,1.0,0.0,0.0,0.0
149,1760765631.7006938,0.0,0.0,-0.5427094828362136,-0.0,0.0,-0.0,0.346,1.0,0.0,0.0,0.0
150,1760765631.7090719,0.0,0.0,-0.5899296472467591,-0.0,0.0,-0.0,0.352,1.0,0.0,0.0,0.0
151,1760765631.7173758,0.0,0.0,-0.5379604953527057,-0.0,0.0,-0.0,0.354,1.0,0.0,0.0,0.0
152,1760765631.7256885,0.0,0.0,-0.5526557145636138,-0.0,0.0,-0.0,0.357,1.0,0.0,0.0,0.0
153,1760765631.7340126,0.0,0.0,-0.5650468782589493,-0.0,0.0,-0.0,0.359,1.0,0.0,0.0,0.0
154,1760765631.7423213,0.0,0.0,-0.5636465457565587,-0.0,0.0,-0.0,0.361,1.0,0.0,0.0,0.0
155,1760765631.750676,0.0,0.0,-0.5583057857691034,-0.0,0.0,-0.0,0.363,1.0,0.0,0.0,0.0
156,1760765631.759009,0.0,0.0,-0.5306359366996153,-0.0,0.0,-0.0,0.365,1.0,0.0,0.0,0.0
157,1760765631.7673645,0.0,0.0,-0.5692966169620483,-0.0,0.0,-0.0,0.367,1.0,0.0,0.0,0.0
158,1760765631.775692,0.0,0.0,-0.553448050347754,-0.0,0.0,-0.0,0.369,1.0,-0.0,0.0,0.0
159,1760765631.7840428,0.0,0.0,-0.5494207661886535,-0.0,0.0,-0.0,0.371,1.0,-0.0,0.0,0.0
160,1760765631.7926002,0.0,0.0,-0.5411192127714481,-0.0,0.0,-0.0,0.372,1.0,-0.0,0.0,0.0
161,1760765631.8007865,0.0,0.0,-0.519360004929557,-0.0,0.0,-0.0,0.374,1.0,-0.0,0.0,0.0
162,1760765631.8090172,0.0,0.0,-0.557697789050853,-0.0,0.0,-0.0,0.377,1.0,-0.0,0.0,0.0
163,1760765631.817341,0.0,0.0,-0.5635215736044141,-0.0,0.0,-0.0,0.379,1.0,-0.0,0.0,-0.0
164,1760765631.8256986,0.0,0.0,-0.5463595311617648,-0.0,0.0,-0.0,0.381,1.0,-0.0,0.0,-0.0
165,1760765631.8340213,0.0,0.0,-0.5485657843713987,-0.0,0.0,-0.0,0.382,1.0,-0.0,0.0,-0.0
166,1760765631.8423495,0.0,0.0,-0.544215604071161,-0.0,0.0,-0.0,0.385,1.0,-0.0,0.0,-0.0
167,1760765631.8506682,0.0,0.0,-0.5552932919381417,-0.0,0.0,-0.0,0.387,1.0,-0.0,0.0,-0.0
168,1760765631.8590147,0.0,0.0,-0.5473255802939766,-0.0,0.0,-0.0,0.389,1.0,-0.0,0.0,-0.0
169,1760765631.8674088,0.0,0.0,-0.5646368055296915,-0.0,0.0,-0.0,0.39,1.0,-0.0,0.0,-0.0
170,1760765631.8757691,0.0,0.0,-0.5290861014900741,-0.0,0.0,-0.0,0.392,1.0,-0.0,0.0,-0.0
