xError,yError,zError,rollError,pitchError,yawError
0.0,0.0,-0.0009999999999998899,0.0,0.0,0.0
0.0,0.0,-0.0009999999999998899,0.0,0.0,0.0
0.0,0.0,-0.0020000000000000018,0.0,0.0,0.0
0.0,0.0,-0.0020000000000000018,0.0,0.0,0.0
0.0,0.0,-0.0029999999999998916,0.0,0.0,0.0
0.0,0.0,-0.0029999999999998916,0.0,0.0,0.0
0.0,0.0,-0.0040000000000000036,0.0,0.0,0.0
0.0,0.0,-0.0040000000000000036,0.0,0.0,0.0
0.0,0.0,-0.004999999999999893,0.0,0.0,0.0
0.0,0.0,-0.004999999999999893,0.0,0.0,0.0
0.0,0.0,-0.006000000000000005,0.0,0.0,0.0
0.0,0.0,-0.006000000000000005,0.0,0.0,0.0
0.0,0.0,-0.006000000000000005,0.0,0.0,0.0
0.0,0.0,-0.006999999999999895,0.0,0.0,0.0
0.0,0.0,-0.006999999999999895,0.0,0.0,0.0
0.0,0.0,-0.008000000000000007,0.0,0.0,0.0
0.0,0.0,-0.008000000000000007,0.0,0.0,0.0
0.0,0.0,-0.008000000000000007,0.0,0.0,0.0
0.0,0.0,-0.008999999999999897,0.0,0.0,0.0
0.0,0.0,-0.008999999999999897,0.0,0.0,0.0
0.0,0.0,-0.008999999999999897,0.0,0.0,0.0
0.0,0.0,-0.008999999999999897,0.0,0.0,0.0
0.0,0.0,-0.010000000000000009,0.0,0.0,0.0
0.0,0.0,-0.010000000000000009,0.0,0.0,0.0
0.0,0.0,-0.010000000000000009,0.0,0.0,0.0
0.0,0.0,-0.010000000000000009,0.0,0.0,0.0
0.0,0.0,-0.010999999999999899,0.0,0.0,0.0
0.0,0.0,-0.010999999999999899,0.0,0.0,0.0
0.0,0.0,-0.010999999999999899,0.0,0.0,0.0
0.0,0.0,-0.010999999999999899,0.0,0.0,0.0
0.0,0.0,-0.010999999999999899,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.01200000000000001,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.0129999999999999,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
0.0,0.0,-0.014000000000000012,-0.0,0.0,0.0
