Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
69,0.022,0.0,-0.826,0.0,0.102,0.054,1.053,1.0,0.01,-0.021,-0.004,0.035,-0.001,0.269,-0.26,-0.014,0.03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.034,-0.089,-1.148,0.005,0.103,0.054,1.08,1.0,0.007,-0.013,-0.004,0.034,-0.008,0.768,-0.363,0.766,0.105,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-0.001,-0.028,-1.286,-0.003,0.105,0.054,1.113,1.0,0.01,-0.012,-0.005,0.031,-0.011,0.971,-0.045,0.102,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-0.016,0.024,-1.27,-0.001,0.105,0.053,1.142,1.0,0.013,-0.016,-0.005,0.022,-0.018,0.876,0.062,-0.395,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.004,0.029,-1.209,0.007,0.106,0.053,1.165,1.0,0.013,-0.023,-0.004,0.014,-0.013,0.694,-0.188,-0.274,0.135,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-0.006,-0.003,-1.136,-0.004,0.106,0.053,1.179,1.0,0.013,-0.021,-0.006,0.022,-0.011,0.446,-0.064,0.085,-0.031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.003,-0.063,-1.037,-0.008,0.107,0.052,1.184,1.0,0.01,-0.012,-0.007,0.024,-0.018,0.172,-0.15,0.599,-0.089,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.007,0.016,-0.875,-0.011,0.108,0.051,1.18,1.0,0.008,-0.014,-0.007,0.014,-0.015,-0.119,-0.147,-0.283,-0.133,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-0.028,-0.022,-0.693,-0.004,0.109,0.051,1.167,1.0,0.011,-0.009,-0.006,0.018,-0.02,-0.385,0.148,0.062,-0.028,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-0.056,0.022,-0.481,-0.004,0.109,0.05,1.145,1.0,0.013,-0.016,-0.006,0.009,-0.035,-0.662,0.301,-0.217,-0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-0.009,0.049,-0.249,0.005,0.109,0.049,1.114,1.0,0.009,-0.02,-0.004,0.016,-0.025,-0.912,-0.095,-0.365,0.093,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.039,0.015,-0.08,-0.001,0.11,0.048,1.079,1.0,0.002,-0.019,-0.004,0.01,-0.015,-1.042,-0.351,0.018,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.052,-0.029,-0.028,0.001,0.11,0.048,1.045,1.0,-0.004,-0.014,-0.003,0.011,-0.018,-1.025,-0.3,0.306,0.022,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-0.057,0.006,-0.122,-0.011,0.111,0.047,1.02,1.0,0.005,-0.014,-0.005,0.013,-0.026,-0.773,0.49,-0.079,-0.145,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-0.048,0.028,-0.436,-0.005,0.111,0.047,1.013,1.0,0.01,-0.016,-0.005,0.011,-0.016,-0.234,0.348,-0.292,-0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-0.035,-0.012,-0.898,-0.004,0.111,0.046,1.027,1.0,0.014,-0.016,-0.005,0.007,-0.013,0.402,0.186,0.049,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.036,-0.045,-1.189,-0.001,0.112,0.046,1.059,1.0,0.006,-0.013,-0.005,0.016,-0.008,0.919,-0.371,0.296,0.017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
