Step,u0,u1,u2,u3,o_u0,o_u1,o_u2,o_u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
29,0.115,0.134,0.367,0.38,0.08114183699637538,0.08986085491437137,0.2683518873462206,0.273606839091367,-0.087,-0.195,1.237,0.968,-0.244,0.036,0.056,-0.043,-0.311,0.102,-14.292,0.428,0.253,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.05,0.063,0.28,0.275,0.05809167860927738,0.06796138897662923,0.24322992801644772,0.24343074921240276,-0.088,-0.205,1.23,0.875,-0.48,0.028,0.066,-0.045,-0.254,-0.152,-14.3,0.469,0.314,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.05,0.05,0.126,0.127,0.047939951145343905,0.05228818751351837,0.16323985229842608,0.1640354076216311,-0.089,-0.205,1.222,0.841,-0.536,0.027,0.071,-0.031,-0.092,-0.229,-6.681,0.142,0.29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.4,0.4,0.05,0.05,0.1999556784850943,0.20187072564138853,0.09424922684144378,0.09459960472857122,-0.091,-0.194,1.217,0.91,-0.407,0.034,0.073,-0.044,0.248,-0.183,5.664,-0.196,0.378,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.4,0.4,0.05,0.05,0.26690633572738043,0.26774975937714546,0.06386442570155773,0.06401873883393151,-0.091,-0.18,1.214,0.986,-0.145,0.044,0.07,-0.028,0.446,-0.136,15.644,-0.768,0.276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.4,0.4,0.05,0.05,0.2963926501966193,0.2967641099614273,0.050482527307318885,0.050550459484784566,-0.092,-0.164,1.196,0.956,0.28,0.062,0.057,-0.012,0.45,-0.399,22.908,-0.533,0.374,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.298,0.31,0.05,0.05,0.2637877793712465,0.2690904107235815,0.044588733153585636,0.04461864917540563,-0.092,-0.151,1.175,0.857,0.509,0.068,0.047,-0.013,0.444,-0.668,19.735,-0.249,0.498,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.065,0.07,0.057,0.05,0.1453661333198274,0.15001180480994836,0.044949622167037705,0.04200616426846231,-0.089,-0.146,1.152,0.824,0.563,0.055,0.046,0.048,0.204,-0.66,6.184,-0.297,0.649,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.05,0.05,0.4,0.4,0.08637729609053237,0.08842333930956486,0.19863868213412178,0.1973423264070545,-0.085,-0.156,1.134,0.923,0.38,0.03,0.057,0.117,-0.202,-0.57,-9.053,-0.743,0.545,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.05,0.05,0.4,0.4,0.06039752696215207,0.06129862289927735,0.26632628901424094,0.26575532966805093,-0.081,-0.168,1.113,0.998,0.012,-0.016,0.064,0.133,-0.363,-0.581,-20.845,-1.362,0.596,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.05,0.05,0.4,0.387,0.04895548673221548,0.04935234604605117,0.2961372310503832,0.29021596508742165,-0.077,-0.178,1.076,0.911,-0.402,-0.062,0.064,0.106,-0.312,-0.994,-25.593,-1.289,0.597,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.05,0.05,0.397,0.372,0.04391653479473488,0.04409135038946016,0.30790954096312495,0.2943108901118239,-0.074,-0.191,1.026,0.701,-0.704,-0.098,0.061,0.115,-0.366,-1.437,-23.374,-1.516,0.673,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.05,0.05,0.265,0.261,0.04169693837272678,0.04177393072100709,0.25428179014494495,0.24628189117075439,-0.073,-0.197,0.976,0.575,-0.809,-0.102,0.062,0.063,-0.285,-1.666,-15.34,-0.864,0.97,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.163,0.094,0.061,0.05,0.09134968593796405,0.06033612427740681,0.13947730355479088,0.1308225400329489,-0.076,-0.183,0.912,0.626,-0.766,-0.112,0.096,-0.07,0.235,-1.847,-0.241,-1.68,0.338,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.4,0.4,0.05,0.05,0.2190741642434965,0.2054151941903615,0.0837837419646698,0.0799720173684254,-0.085,-0.153,0.832,0.863,-0.482,-0.04,0.143,-0.216,0.777,-2.135,18.391,-0.575,1.275,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
