Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
42,-0.064,-0.086,0.0,-0.011,0.055,0.051,1.055,1.0,0.017,0.021,-0.007,-0.065,-0.106,0.772,0.18,0.449,-0.067,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.008,0.187,0.0,-0.0,0.052,0.048,1.078,1.0,0.012,-0.013,-0.006,-0.095,-0.097,0.71,-0.295,-1.447,0.059,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.005,0.107,0.001,0.002,0.05,0.045,1.097,1.0,0.007,-0.021,-0.004,-0.069,-0.102,0.582,-0.263,-0.382,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.026,0.031,0.0,-0.0,0.048,0.042,1.108,1.0,-0.001,-0.014,-0.003,-0.07,-0.109,0.385,-0.482,0.436,0.046,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.002,-0.144,0.016,-0.01,0.047,0.038,1.112,1.0,-0.002,0.012,-0.004,-0.038,-0.11,0.156,-0.17,1.547,-0.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.021,-0.147,0.051,-0.009,0.045,0.035,1.109,1.0,-0.001,0.03,-0.005,-0.044,-0.106,-0.08,-0.009,1.068,-0.049,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.06,-0.064,0.113,-0.006,0.043,0.031,1.097,0.999,0.003,0.033,-0.006,-0.056,-0.103,-0.362,0.223,0.191,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.042,0.166,0.186,0.003,0.04,0.028,1.077,1.0,0.002,0.013,-0.004,-0.081,-0.102,-0.583,0.002,-1.117,0.086,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-0.001,0.254,0.251,0.004,0.038,0.025,1.05,1.0,-0.002,-0.005,-0.003,-0.072,-0.092,-0.823,-0.194,-1.018,0.08,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.073,0.143,0.316,0.004,0.036,0.022,1.016,1.0,-0.011,-0.002,-0.002,-0.051,-0.089,-1.023,-0.476,0.055,0.067,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
