Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz
37,0.005,0.032,-0.498,-0.001,0.098,0.029,0.74,1.0,0.009,-0.022,-0.004,0.054,0.039,-0.238,-0.073,-0.222,0.001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.009,-0.011,-0.506,0.004,0.099,0.03,0.734,1.0,0.008,-0.02,-0.003,0.046,0.034,-0.197,-0.102,0.182,0.079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-0.032,-0.031,-0.526,-0.012,0.101,0.031,0.729,1.0,0.013,-0.016,-0.005,0.044,0.028,-0.128,0.172,0.264,-0.167,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.007,0.013,-0.544,-0.005,0.102,0.032,0.727,1.0,0.012,-0.016,-0.005,0.041,0.031,-0.072,-0.037,-0.19,-0.048,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.008,0.017,-0.565,0.001,0.104,0.033,0.727,1.0,0.01,-0.019,-0.004,0.038,0.029,-0.0,-0.138,-0.145,0.045,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.012,-0.016,-0.578,-0.003,0.105,0.034,0.729,1.0,0.011,-0.016,-0.005,0.038,0.021,0.04,0.021,0.108,-0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.005,-0.014,-0.587,0.002,0.106,0.035,0.731,1.0,0.01,-0.015,-0.003,0.034,0.026,0.06,-0.005,0.064,0.05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.003,-0.002,-0.59,-0.005,0.107,0.036,0.733,1.0,0.009,-0.017,-0.004,0.038,0.016,0.067,-0.094,-0.028,-0.056,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.03,0.014,-0.591,-0.007,0.109,0.036,0.735,1.0,0.013,-0.017,-0.005,0.038,0.019,0.069,0.157,-0.198,-0.079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.006,-0.013,-0.587,0.009,0.11,0.036,0.737,1.0,0.009,-0.016,-0.002,0.032,0.008,0.054,-0.151,0.084,0.166,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.024,0.005,-0.58,-0.002,0.111,0.037,0.738,1.0,0.012,-0.018,-0.004,0.032,0.015,0.027,0.111,-0.057,-0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.034,-0.026,-0.575,-0.01,0.112,0.038,0.738,1.0,0.013,-0.015,-0.006,0.031,0.016,0.012,0.196,0.186,-0.123,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.038,-0.003,-0.564,0.001,0.113,0.038,0.737,1.0,0.007,-0.016,-0.006,0.031,0.014,-0.022,-0.415,-0.031,0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.037,-0.014,-0.56,0.009,0.114,0.038,0.736,1.0,0.004,-0.015,-0.004,0.03,0.009,-0.036,-0.331,0.059,0.165,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-0.037,0.019,-0.551,-0.002,0.114,0.038,0.734,1.0,0.009,-0.019,-0.005,0.023,0.005,-0.059,0.288,-0.145,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
