Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
37,-0.016,-0.046,-0.396,-0.006,-0.058,0.041,0.913,1.0,0.011,-0.017,-0.006,0.296,0.019,-0.287,0.084,0.165,-0.066,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42580560026144,[-0.09488877]
38,-0.003,0.019,-0.374,-0.003,-0.048,0.042,0.902,1.0,0.011,-0.021,-0.006,0.294,0.018,-0.307,-0.056,-0.44,-0.014,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4050094112245328,[-0.09862429]
39,0.0,0.025,-0.368,0.0,-0.039,0.043,0.893,1.0,0.009,-0.024,-0.005,0.281,0.013,-0.282,-0.054,-0.408,0.038,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38490883190266817,[-0.10162117]
40,0.003,0.027,-0.358,0.004,-0.031,0.043,0.884,1.0,0.008,-0.028,-0.004,0.269,0.012,-0.239,-0.055,-0.308,0.094,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37441865935605656,[-0.11016721]
41,-0.015,-0.002,-0.351,-0.013,-0.022,0.044,0.878,1.0,0.01,-0.025,-0.006,0.261,0.021,-0.186,0.11,-0.107,-0.168,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3752253996462611,[-0.11981263]
42,-0.034,0.011,-0.36,-0.008,-0.013,0.044,0.875,1.0,0.011,-0.024,-0.005,0.259,0.02,-0.117,0.291,-0.301,-0.095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3679508834143303,[-0.12614778]
43,-0.012,-0.075,-0.385,-0.001,-0.005,0.044,0.875,1.0,0.009,-0.016,-0.005,0.255,0.011,-0.01,0.096,0.369,0.032,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3200412916592784,[-0.12996553]
44,0.01,-0.054,-0.418,0.004,0.003,0.045,0.877,1.0,0.007,-0.015,-0.003,0.243,0.009,0.074,-0.097,0.132,0.082,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3136868188947076,[-0.13161695]
45,0.024,0.0,-0.448,-0.003,0.011,0.045,0.883,1.0,0.004,-0.02,-0.004,0.234,0.016,0.161,-0.145,-0.335,-0.029,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2719495242178821,[-0.13052488]
46,-0.0,0.011,-0.474,-0.005,0.018,0.046,0.891,1.0,0.005,-0.027,-0.004,0.21,0.025,0.227,0.132,-0.227,-0.058,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25771911828785377,[-0.1279907]
47,0.008,0.079,-0.507,-0.015,0.025,0.047,0.9,0.999,0.006,-0.037,-0.006,0.206,0.023,0.293,0.017,-0.762,-0.215,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22667812703302032,[-0.12286724]
48,0.007,-0.003,-0.522,-0.0,0.031,0.047,0.911,0.999,0.008,-0.031,-0.004,0.191,0.022,0.309,-0.025,0.027,0.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23689322086856052,[-0.11831426]
49,0.028,-0.056,-0.541,0.006,0.038,0.048,0.921,1.0,0.006,-0.026,-0.003,0.197,0.021,0.302,-0.219,0.45,0.112,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24221387049356152,[-0.11282942]
50,-0.01,-0.097,-0.556,0.003,0.045,0.048,0.93,1.0,0.01,-0.017,-0.002,0.208,0.013,0.281,0.086,0.643,0.063,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2349204881163135,[-0.10774799]
51,-0.022,-0.005,-0.557,-0.01,0.051,0.049,0.938,1.0,0.012,-0.021,-0.004,0.185,0.014,0.232,0.174,-0.242,-0.152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24491462875111644,[-0.10356564]
52,-0.014,0.024,-0.54,0.008,0.057,0.049,0.943,0.999,0.014,-0.029,-0.002,0.175,0.005,0.171,-0.004,-0.349,0.147,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25628405676071164,[-0.10003634]
53,-0.013,0.077,-0.517,-0.002,0.062,0.05,0.946,0.999,0.014,-0.039,-0.003,0.148,0.017,0.085,0.027,-0.581,-0.024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30040194074153226,[-0.09780098]
54,0.001,0.008,-0.493,-0.009,0.066,0.05,0.946,0.999,0.011,-0.036,-0.005,0.146,0.007,0.01,-0.094,0.119,-0.116,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31565591718561886,[-0.09623866]
55,0.008,0.009,-0.467,-0.007,0.071,0.051,0.943,0.999,0.009,-0.034,-0.005,0.132,0.024,-0.072,-0.068,0.108,-0.089,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35111177020284445,[-0.0971669]
56,0.006,-0.034,-0.448,-0.01,0.076,0.051,0.939,1.0,0.008,-0.025,-0.006,0.145,0.015,-0.118,-0.044,0.28,-0.121,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3461886172416699,[-0.09813789]
57,-0.02,-0.015,-0.432,0.005,0.08,0.051,0.934,1.0,0.01,-0.025,-0.004,0.133,0.003,-0.157,0.145,0.105,0.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36273265632916996,[-0.10085005]
58,-0.042,-0.047,-0.426,-0.002,0.085,0.052,0.928,1.0,0.013,-0.02,-0.005,0.133,0.012,-0.149,0.328,0.295,0.009,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33394215617785655,[-0.10312723]
59,-0.026,0.012,-0.409,0.002,0.088,0.052,0.922,1.0,0.012,-0.025,-0.003,0.118,0.012,-0.169,0.18,-0.164,0.051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3696472191540391,[-0.10739846]
60,0.07,0.077,-0.4,0.008,0.091,0.053,0.917,0.999,0.003,-0.033,-0.002,0.096,0.011,-0.153,-0.604,-0.585,0.129,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35266589028498885,[-0.11085719]
