Throttle,Thrust
0.6,0.16566
0.6,0.16559
0.6,0.16538
0.6,0.16512
0.6,0.16487
0.6,0.16471
0.6,0.16488
0.6,0.16519
0.6,0.16537
0.6,0.16586
0.65,0.16605
0.65,0.17076
0.65,0.18361
0.65,0.18785
0.65,0.1878
0.65,0.18774
0.65,0.18781
0.65,0.18792
0.65,0.18827
0.65,0.18869
0.65,0.18887
0.65,0.18868
0.65,0.18843
0.65,0.18807
0.65,0.18806
0.65,0.18821
0.65,0.18837
0.65,0.18811
0.65,0.18782
0.65,0.18796
0.65,0.18784
0.65,0.18779
0.65,0.18801
0.65,0.18809
0.65,0.18804
0.65,0.18808
0.65,0.18826
0.65,0.18887
0.65,0.18921
0.65,0.18917
0.7000000000000001,0.18938
0.7000000000000001,0.19105
0.7000000000000001,0.2037
0.7000000000000001,0.21642
0.7000000000000001,0.21815
0.7000000000000001,0.21792
0.7000000000000001,0.21738
0.7000000000000001,0.21697
0.7000000000000001,0.21672
0.7000000000000001,0.21636
0.7000000000000001,0.21631
0.7000000000000001,0.21652
0.7000000000000001,0.21667
0.7000000000000001,0.21666
0.7000000000000001,0.21662
0.7000000000000001,0.21671
0.7000000000000001,0.21658
0.7000000000000001,0.21615
0.7000000000000001,0.21613
0.7000000000000001,0.21652
0.7000000000000001,0.21653
0.7000000000000001,0.21627
0.7000000000000001,0.21639
0.7000000000000001,0.21653
0.7000000000000001,0.21655
0.7000000000000001,0.2165
0.7000000000000001,0.21598
0.7000000000000001,0.21572
0.7000000000000001,0.21615
0.7000000000000001,0.21632
0.7000000000000001,0.21648
0.7500000000000001,0.21715
0.7500000000000001,0.22283
0.7500000000000001,0.23765
0.7500000000000001,0.24314
0.7500000000000001,0.24342
0.7500000000000001,0.24314
0.7500000000000001,0.24325
0.7500000000000001,0.24316
0.7500000000000001,0.24241
0.7500000000000001,0.24212
0.7500000000000001,0.242
0.7500000000000001,0.24179
0.7500000000000001,0.24106
0.7500000000000001,0.2403
0.7500000000000001,0.24036
0.7500000000000001,0.24062
0.7500000000000001,0.24012
0.7500000000000001,0.2397
0.7500000000000001,0.2395
0.7500000000000001,0.23943
0.7500000000000001,0.2395
0.7500000000000001,0.23901
0.7500000000000001,0.23854
0.7500000000000001,0.2382
0.7500000000000001,0.23811
0.7500000000000001,0.23847
0.7500000000000001,0.23885
0.7500000000000001,0.23864
0.7500000000000001,0.23872
0.7500000000000001,0.2392
0.8000000000000002,0.23932
0.8000000000000002,0.24005
0.8000000000000002,0.25029
0.8000000000000002,0.26109
0.8000000000000002,0.26289
0.8000000000000002,0.26273
0.8000000000000002,0.26289
0.8000000000000002,0.26267
0.8000000000000002,0.26184
0.8000000000000002,0.26128
0.8000000000000002,0.26117
0.8000000000000002,0.26121
0.8000000000000002,0.26142
0.8000000000000002,0.26188
0.8000000000000002,0.26254
0.8000000000000002,0.26291
0.8000000000000002,0.26311
0.8000000000000002,0.26271
0.8000000000000002,0.2625
0.8000000000000002,0.26271
0.8000000000000002,0.26281
0.8000000000000002,0.26318
0.8000000000000002,0.26348
0.8000000000000002,0.2629
0.8000000000000002,0.2623
0.8000000000000002,0.2623
0.8000000000000002,0.262
0.8000000000000002,0.26202
0.8000000000000002,0.26261
