Step,u0,u1,u2,u3,px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz,sp_px,sp_py,sp_pz,sp_rw,sp_rx,sp_ry,sp_rz,sp_vx,sp_vy,sp_vz,sp_wx,sp_wy,sp_wz,err_z,aug_u
43,0.03,-0.1,-0.468,0.005,0.025,0.033,0.551,1.0,0.007,-0.02,-0.003,0.25,0.031,-0.002,-0.291,0.737,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-0.006,0.002,-0.482,0.0,0.032,0.034,0.552,1.0,0.007,-0.027,-0.003,0.244,0.03,0.033,0.088,-0.182,0.023,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-0.024,0.003,-0.483,-0.0,0.039,0.034,0.554,1.0,0.009,-0.028,-0.004,0.22,0.026,0.056,0.199,-0.119,0.019,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.068,0.076,-0.483,-0.008,0.046,0.035,0.556,0.999,0.015,-0.041,-0.006,0.191,0.022,0.052,0.471,-0.424,-0.095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-0.02,0.052,-0.482,-0.012,0.051,0.036,0.557,0.999,0.011,-0.042,-0.007,0.172,0.02,0.049,0.088,-0.099,-0.159,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.033,0.064,-0.473,-0.008,0.056,0.037,0.558,0.999,0.005,-0.043,-0.007,0.156,0.033,0.018,-0.248,-0.146,-0.114,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.074,-0.003,-0.465,-0.009,0.061,0.038,0.558,0.999,-0.003,-0.032,-0.007,0.159,0.038,-0.002,-0.411,0.208,-0.136,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.013,-0.069,-0.463,0.007,0.067,0.039,0.557,1.0,-0.001,-0.02,-0.004,0.164,0.035,-0.02,0.158,0.497,0.122,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-0.034,-0.071,-0.467,0.004,0.072,0.04,0.557,1.0,0.006,-0.017,-0.003,0.156,0.033,-0.023,0.427,0.433,0.084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.088,0.017,-0.462,-0.01,0.076,0.04,0.555,1.0,0.017,-0.02,-0.005,0.138,0.024,-0.028,0.636,-0.327,-0.141,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.019,0.076,-0.455,-0.003,0.08,0.041,0.554,0.999,0.013,-0.03,-0.005,0.106,0.027,-0.036,0.045,-0.54,-0.049,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.032,-0.003,-0.447,0.001,0.083,0.042,0.552,1.0,0.006,-0.03,-0.005,0.095,0.019,-0.047,-0.294,0.302,0.032,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.1,0.02,-0.446,0.007,0.086,0.043,0.55,1.0,-0.006,-0.03,-0.003,0.091,0.037,-0.064,-0.682,0.071,0.123,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.021,-0.008,-0.451,-0.007,0.089,0.044,0.549,1.0,-0.002,-0.024,-0.005,0.092,0.039,-0.053,0.136,0.159,-0.082,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-0.075,0.028,-0.446,-0.01,0.092,0.046,0.547,1.0,0.009,-0.025,-0.005,0.091,0.046,-0.05,0.828,-0.184,-0.131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
