px,py,pz,rw,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.824,-0.785,1.353,0.636,-0.283,0.064,0.715,4.277,3.028,-0.877,-2.678,-1.736,0.309
0.833,-0.778,1.351,0.635,-0.285,0.062,0.715,3.874,2.76,-0.796,-2.389,-1.369,0.201
0.842,-0.77,1.35,0.634,-0.284,0.058,0.717,3.453,2.493,-0.698,-2.127,-1.397,0.263
0.851,-0.763,1.348,0.633,-0.286,0.055,0.718,3.31,2.44,-0.653,-2.156,-1.142,0.249
0.86,-0.755,1.346,0.632,-0.286,0.052,0.718,3.092,2.321,-0.609,-1.942,-1.096,0.207
0.869,-0.748,1.345,0.632,-0.286,0.05,0.719,2.887,2.225,-0.555,-1.738,-0.974,0.131
0.878,-0.74,1.343,0.632,-0.288,0.051,0.718,2.684,2.108,-0.513,-1.455,-0.665,0.101
0.886,-0.732,1.342,0.631,-0.286,0.047,0.72,2.601,2.115,-0.477,-1.368,-0.921,0.166
0.895,-0.724,1.341,0.63,-0.288,0.046,0.72,2.474,2.064,-0.44,-1.225,-0.689,0.122
0.903,-0.716,1.34,0.629,-0.288,0.042,0.72,2.396,2.053,-0.398,-1.331,-0.765,0.087
0.911,-0.708,1.339,0.629,-0.288,0.041,0.721,2.188,1.921,-0.359,-1.165,-0.68,0.085
0.919,-0.699,1.338,0.628,-0.289,0.038,0.721,2.413,2.249,-0.369,-1.306,-0.756,0.044
0.927,-0.691,1.337,0.627,-0.29,0.037,0.722,2.315,2.209,-0.34,-1.276,-0.588,0.109
0.935,-0.682,1.336,0.627,-0.29,0.034,0.723,2.222,2.188,-0.304,-1.257,-0.721,0.09
0.942,-0.673,1.335,0.626,-0.291,0.031,0.723,2.111,2.128,-0.277,-1.233,-0.683,0.018
0.95,-0.664,1.335,0.625,-0.293,0.028,0.723,2.082,2.163,-0.251,-1.379,-0.619,0.068
0.957,-0.656,1.334,0.623,-0.294,0.024,0.725,2.019,2.169,-0.233,-1.542,-0.669,0.153
0.964,-0.646,1.334,0.621,-0.295,0.018,0.726,1.947,2.151,-0.219,-1.673,-0.873,0.136
0.971,-0.637,1.333,0.618,-0.297,0.012,0.728,1.827,2.071,-0.199,-1.839,-0.876,0.227
0.978,-0.628,1.332,0.616,-0.297,0.005,0.729,1.893,2.224,-0.201,-2.318,-1.316,0.261
0.985,-0.619,1.332,0.613,-0.298,-0.002,0.731,1.859,2.252,-0.194,-2.473,-1.494,0.318
0.992,-0.61,1.331,0.61,-0.3,-0.009,0.733,1.807,2.225,-0.185,-2.607,-1.504,0.387
0.998,-0.601,1.33,0.608,-0.302,-0.016,0.734,1.711,2.153,-0.173,-2.673,-1.473,0.286
1.005,-0.591,1.33,0.606,-0.303,-0.022,0.735,1.697,2.191,-0.175,-2.694,-1.451,0.333
1.011,-0.582,1.329,0.603,-0.305,-0.027,0.736,1.72,2.264,-0.184,-2.778,-1.416,0.356
1.018,-0.573,1.328,0.602,-0.305,-0.032,0.738,1.7,2.291,-0.186,-2.677,-1.512,0.325
1.024,-0.563,1.327,0.6,-0.306,-0.036,0.738,1.589,2.186,-0.178,-2.439,-1.331,0.319
1.03,-0.554,1.326,0.598,-0.308,-0.04,0.739,1.686,2.38,-0.2,-2.636,-1.182,0.291
1.036,-0.544,1.326,0.597,-0.31,-0.044,0.739,1.645,2.377,-0.198,-2.448,-1.067,0.278
1.042,-0.534,1.325,0.597,-0.309,-0.046,0.739,1.596,2.366,-0.19,-2.079,-0.983,0.16
1.048,-0.524,1.324,0.596,-0.31,-0.047,0.739,1.509,2.273,-0.18,-1.808,-0.816,0.103
1.054,-0.514,1.324,0.595,-0.311,-0.048,0.739,1.479,2.298,-0.17,-1.603,-0.665,0.163
1.06,-0.504,1.323,0.596,-0.31,-0.049,0.739,1.547,2.481,-0.17,-1.276,-0.707,0.019
1.065,-0.494,1.322,0.597,-0.308,-0.046,0.739,1.501,2.476,-0.168,-0.68,-0.518,0.018
1.071,-0.484,1.322,0.596,-0.308,-0.047,0.74,1.406,2.366,-0.156,-0.599,-0.49,0.038
1.076,-0.474,1.322,0.596,-0.306,-0.05,0.741,1.432,2.497,-0.136,-0.536,-0.808,-0.018
1.081,-0.463,1.321,0.596,-0.306,-0.051,0.74,1.393,2.522,-0.123,-0.485,-0.679,-0.077
1.085,-0.453,1.321,0.596,-0.305,-0.052,0.741,1.336,2.501,-0.115,-0.404,-0.642,-0.043
