step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761631629.028642,0.0,0.0,0.5999999999135898,-6.288135051787691e-06,0.0,0.0,0.4721435271536444,1.4584211969612388e-05,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0077,0.0033,0.0048,0.0
0,1761631629.056279,0.0,0.0,0.5999999991554326,-4.049914831590674e-06,0.0,0.0,0.2999999923752222,1.923813467607631e-05,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0065,0.0021,0.002,0.0
0,1761631629.0848799,0.0,0.0,0.5999999996526612,-2.1757017686928575e-06,0.0,0.0,0.30000000455000253,1.6717173213182837e-05,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0024,0.0011,0.0023,0.0
0,1761631629.117601,0.0,0.0,0.5999999998076407,-8.597660663448177e-07,0.0,0.0,0.3000000013761259,1.2071506139133972e-05,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0025,0.001,0.0019,0.0
0,1761631629.1678994,0.0,0.0,0.5999999999008625,-8.125823774305064e-08,0.0,0.0,0.300000000836037,7.355195252845262e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0127,0.0031,0.006,0.0
0,1761631629.1945684,0.0,0.0,0.5999999999533463,2.8145942971805553e-07,0.0,0.0,0.30000000047526776,3.5865475557395353e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0049,0.003,0.0073,0.0
0,1761631629.221566,0.0,0.0,0.5999999999726364,3.819036866731425e-07,0.0,0.0,0.30000000016957434,1.1451722844098978e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0017,0.003,0.0044,0.0
0,1761631629.2499847,0.0,0.0,0.599999999969056,3.423822143036769e-07,0.0,0.0,0.29999999995051496,-2.0426288035808468e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0013,0.001,0.002,0.0
0,1761631629.2829819,0.0,0.0,0.5999999999690592,2.495276820476003e-07,0.0,0.0,0.29999999998456073,-7.573542154089276e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0013,0.001,0.0019,0.0
0,1761631629.3173234,0.0,0.0,0.5999999999690592,1.532155029988897e-07,0.0,0.0,0.2999999999845284,-8.38357949463305e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.12,50.0,300.0,0.0,0.0015,0.0015,0.0022,0.0
